Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Vol,MA5,MA10,DIF,MACD9,OSC,K,D,S_P500,SOXX,ADR,TaiwanAll
2013/7/22,98,98.4,96.9,97,103.54,105.87,106.14,108.55,88048,68137,51962,-1.2,-0.32,-0.88,28.31%,50.07%,1692.09,486.17,16.49,8105.45
2013/7/23,98.5,101.5,98.5,100,101.94,105.27,106.09,108.4,85595,78064,56970,-1.49,-0.55,-0.93,26.76%,42.30%,1695.53,485.15,16.620001,8214.65
2013/7/24,100.5,103,100,102,100.54,104.87,106.11,108.3,58356,81710,60597,-1.56,-0.75,-0.8,30.82%,38.47%,1692.39,483.52,16.74,8196.19
2013/7/25,102,103.5,101,102.5,99.94,104.17,106.01,108.19,37559,78578,58661,-1.54,-0.91,-0.63,35.36%,37.43%,1685.94,474.69,17.02,8163.58
2013/7/26,103,103,101,102.5,100.8,103.42,105.59,108.05,31818,60275,58739,-1.53,-1.03,-0.49,39.00%,37.96%,1690.25,477.4,17.18,8149.4
2013/7/29,100,101.5,100,100,101.4,102.47,105.19,107.89,38334,50332,59235,-1.64,-1.16,-0.49,34.54%,36.82%,1691.65,473.12,16.9,8084.5
2013/7/30,100.5,102.5,100.5,102,101.8,101.87,104.79,107.73,33872,39988,59026,-1.61,-1.25,-0.36,38.34%,37.33%,1685.33,469.97,16.700001,8163.55
2013/7/31,101.5,103,101,102.5,101.9,101.22,104.56,107.56,36998,35716,58713,-1.52,-1.3,-0.22,53.84%,42.83%,1685.96,475.59,16.969999,8107.94
2013/8/1,102,102,100,100.5,101.5,100.72,104.24,107.33,32510,34706,56642,-1.56,-1.35,-0.2,54.08%,46.58%,1685.73,477.78,16.98,8056.22
2013/8/2,102.5,103,100,100.5,101.1,100.95,103.81,107.09,28040,33951,47113,-1.55,-1.39,-0.16,49.39%,47.52%,1706.87,486.6,17.25,8099.88
2013/8/5,100,101.5,99.9,100.5,101.2,101.3,103.59,106.85,23373,30959,40646,-1.55,-1.42,-0.13,38.48%,44.50%,1709.67,483.38,16.799999,8138.63
2013/8/6,100.5,100.5,98.6,98.8,100.56,101.18,103.23,106.59,42787,32742,36365,-1.65,-1.47,-0.18,27.01%,38.67%,1707.14,482.14,16.82,8038.91
2013/8/7,98.5,98.5,97,97,99.46,100.68,102.78,106.28,45970,34536,35126,-1.86,-1.55,-0.31,18.01%,31.79%,1697.37,478.68,16.59,7921.29
2013/8/8,96,97.1,95.3,96.4,98.64,100.07,102.12,105.97,55873,39209,36958,-2.08,-1.66,-0.43,16.77%,26.78%,1690.91,474.12,16.17,7907.67
2013/8/9,100,100,96.4,96.4,97.82,99.46,101.44,105.69,47192,43039,38495,-2.15,-1.76,-0.4,15.94%,23.17%,1697.48,474.31,16.219999,7856.14
2013/8/12,96.4,96.7,95.6,96,96.92,99.06,100.77,105.4,33455,45055,38007,-2.28,-1.86,-0.42,13.66%,20.00%,1691.42,471.76,16.209999,7903.38
2013/8/13,96,97.4,96,97.2,96.6,98.58,100.23,105.12,34392,43376,38059,-2.29,-1.95,-0.34,17.33%,19.11%,1689.47,473.62,16.049999,7986.27
2013/8/14,96,97.3,95.8,96.8,96.56,98.01,99.62,104.86,44023,42987,38762,-2.29,-2.02,-0.28,18.05%,18.75%,1694.16,479.06,16.27,7951.33
2013/8/15,96.4,96.4,95.3,96,96.48,97.56,99.14,104.59,42688,40350,39779,-2.32,-2.08,-0.25,15.79%,17.77%,1685.39,471.34,16.059999,7887.26
2013/8/16,95.4,97.5,95.2,96.5,96.5,97.16,99.06,104.4,37699,38451,40745,-2.28,-2.12,-0.17,18.71%,18.08%,1661.32,460.84,16,7925
2013/8/19,95.5,96.1,95.3,95.5,96.4,96.66,98.98,104.16,52061,42173,43614,-2.29,-2.15,-0.14,14.55%,16.90%,1655.83,462.46,15.97,7900.21
2013/8/20,95.2,95.4,94.4,94.4,95.84,96.22,98.7,103.87,42471,43788,43582,-2.35,-2.19,-0.16,9.70%,14.50%,1646.06,459.29,15.81,7832.65
2013/8/22,93,94.9,92.9,94.5,95.38,95.97,98.33,103.62,60312,47046,45017,-2.4,-2.24,-0.17,13.98%,14.33%,1652.35,461.83,15.83,7814.38
2013/8/23,95.7,97.3,95.5,97,95.58,96.03,98.05,103.39,44454,47399,43875,-2.22,-2.23,0.01,39.03%,22.56%,1656.96,458.53,15.75,7873.31
2013/8/26,97.6,97.6,96.1,96.8,95.64,96.07,97.77,103.17,18699,43599,41025,-2.04,-2.19,0.15,53.68%,32.94%,1656.96,463.83,16.059999,7894.97
2013/8/27,96,96.8,95.6,95.6,95.66,96.03,97.55,102.94,24475,38082,40127,-1.95,-2.14,0.2,54.94%,40.27%,1663.5,463.82,16.219999,7820.84
2013/8/28,95.6,97.3,95.1,96.8,96.14,95.99,97.29,102.76,35977,36783,40286,-1.81,-2.08,0.27,64.28%,48.27%,1656.78,462.92,16.26,7824.54
2013/8/29,96.9,98.9,96.9,98.7,96.98,96.18,97.1,102.59,52397,35200,41123,-1.53,-1.97,0.44,75.08%,57.21%,1630.48,451.22,15.98,7917.66
2013/8/30,99.6,100.5,98.8,100.5,97.68,96.63,97.1,102.44,38966,34103,40751,-1.16,-1.81,0.65,83.39%,65.93%,1634.96,456.39,16.26,8021.89
2013/9/2,100,102,99.6,102,98.72,97.18,97.17,102.34,30860,36535,40067,-0.75,-1.59,0.85,88.92%,73.60%,1638.17,461.82,16.67,8038.86
2013/9/3,103,103,101.5,102,100,97.83,97.25,102.24,33838,38408,38245,-0.36,-1.35,0.99,89.32%,78.84%,1632.97,457.7,16.559999,8088.37
2013/9/4,100.5,101.5,100,100.5,100.74,98.44,97.33,102.1,25229,36258,36521,-0.17,-1.11,0.94,82.33%,80.00%,1639.77,461.64,16.9,8083.44
2013/9/5,100.5,101.5,100,101.5,101.3,99.14,97.56,101.99,35890,32957,34079,0.02,-0.88,0.91,81.89%,80.63%,1653.08,473.56,16.860001,8169.1
2013/9/6,102,102,101,102,101.6,99.64,97.84,101.95,25342,30232,32167,0.22,-0.66,0.88,83.71%,81.66%,1655.08,477.04,17.18,8164.2
2013/9/9,102.5,103,101,103,101.8,100.26,98.17,101.9,33083,30676,33606,0.43,-0.44,0.88,89.14%,84.15%,1655.17,475.1,17.01,8192.11
2013/9/10,103,104.5,102.5,104.5,102.3,101.15,98.59,101.88,37392,31387,34897,0.72,-0.21,0.93,92.76%,87.02%,1671.71,481.42,17.299999,8208.77
