®É¶¡,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Vol,MA5,MA10,DIF,MACD9,OSC,K,D,RSIx6,RSIx12,BBand width,Band%EMA3,TaiwanAll
2016/11/23,87.3,89.6,87.3,88,87.54,86.13,86.13,82.44,10333,8989,11415,1.16,1.02,0.13,79.76%,75.31%,59.90%,56.19%,12.98%,13.05%,9178.23
2016/11/24,87.8,87.9,86.4,87.8,87.5,86.29,86.01,82.71,4341,7484,10781,1.16,1.05,0.11,78.05%,76.23%,58.44%,55.65%,12.43%,12.74%,9152.11
2016/11/25,87.5,88.5,87.3,87.7,87.54,86.84,85.92,82.95,4040,6525,9941,1.17,1.07,0.1,76.45%,76.30%,57.59%,55.36%,11.99%,12.37%,9159.07
2016/11/28,87.7,88.2,85.3,85.4,87.24,86.85,85.64,83.1,9931,7269,9377,1.03,1.07,-0.03,53.19%,68.60%,41.16%,48.93%,10.78%,11.58%,9222.24
2016/11/29,84.7,86.4,83.9,86.4,87.06,87.15,85.51,83.26,10633,7856,9033,0.89,1.03,-0.14,50.08%,62.42%,48.78%,51.59%,10.23%,10.90%,9192.38
2016/11/30,86.1,86.1,83.8,85,86.46,87,85.56,83.42,68492,19487,14238,0.7,0.96,-0.26,40.28%,55.04%,40.06%,47.78%,10.11%,10.50%,9240.71
2016/12/1,85,85,82.2,82.2,85.34,86.42,85.6,83.52,11884,20996,14240,0.38,0.85,-0.47,26.85%,45.65%,28.04%,41.15%,9.82%,10.16%,9263.53
2016/12/2,80.1,80.9,77.7,77.9,83.38,85.46,85.3,83.54,21615,24511,15518,-0.22,0.63,-0.85,18.46%,36.59%,18.05%,33.38%,12.53%,11.35%,9189.49
2016/12/5,78.9,78.9,77.1,77.1,81.72,84.48,84.85,83.53,10654,24656,15962,-0.77,0.35,-1.12,12.31%,28.49%,16.72%,32.15%,15.11%,13.23%,9160.66
2016/12/6,78,78.9,77.5,77.5,79.94,83.5,84.44,83.54,10518,24633,16244,-1.17,0.05,-1.22,9.38%,22.12%,20.25%,33.49%,16.93%,15.08%,9250.77
2016/12/7,77.9,78.2,75.6,76.2,78.18,82.32,84.23,83.49,9622,12859,16173,-1.57,-0.27,-1.3,7.80%,17.35%,17.38%,31.30%,18.60%,16.84%,9263.89
2016/12/8,77.4,79.4,77.2,79.3,77.6,81.47,83.88,83.46,11291,12740,16868,-1.69,-0.56,-1.13,14.99%,16.56%,41.21%,41.28%,19.22%,18.03%,9375.86
