®É¶¡,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Vol,MA5,MA10,DIF12-26,MACD9,OSC,K,D,RSI 6,RSI 12,BBand width,Band%EMA3,TaiwnaAll
2017/11/27,68.9,69.1,67.3,68.8,69.56,68.4,72.47,52.59,1369,2274,1859,2.2,3.74,-1.54,50.38%,49.32%,47.94%,51.07%,32.63%,32.90%,10683.92
2017/11/28,70.2,75,69.2,71.8,69.06,69.06,71.91,53.21,4785,2584,2167,2.24,3.44,-1.2,55.69%,51.45%,57.41%,55.20%,30.01%,31.45%,10687.18
2017/11/29,75.1,78.9,73.8,78.9,71.1,70.25,71.7,53.93,5950,3063,2633,2.69,3.29,-0.6,70.46%,57.79%,71.92%,63.23%,28.09%,29.77%,10630.65
2017/11/30,80,86.7,77.1,85,74.3,71.87,72.06,54.77,12544,5248,3722,3.48,3.33,0.15,77.62%,64.40%,79.22%,68.51%,31.50%,30.63%,10625.04
2017/12/1,86,89.5,76.5,76.5,76.2,72.77,72.06,55.49,16703,8270,5227,3.77,3.42,0.35,66.95%,65.25%,55.22%,56.23%,31.48%,31.06%,10701.64
2017/12/4,78,81.5,77.4,77.5,77.94,73.75,71.83,56.24,7973,9591,5933,3.85,3.5,0.34,61.23%,63.91%,57.06%,57.21%,29.80%,30.43%,10664.55
2017/12/5,77.5,80.5,70.2,71,77.78,73.42,71.33,56.87,7366,10107,6346,3.44,3.49,-0.05,48.35%,58.72%,43.22%,49.34%,27.60%,29.02%,10779.24
2017/12/6,70.5,73.4,68.4,71.5,76.3,73.7,71.26,57.47,4694,9856,6460,2.93,3.38,-0.45,40.46%,52.64%,44.47%,49.92%,27.55%,28.28%,10822.59
2017/12/7,74.5,74.5,71.5,72.3,73.76,74.03,71.43,58.09,2916,7930,6589,2.61,3.22,-0.62,34.48%,46.59%,46.71%,50.90%,27.34%,27.81%,10854.57
2017/12/8,73.3,74.7,71.8,72.3,72.92,74.56,71.36,58.73,3140,5218,6744,2.34,3.05,-0.71,29.15%,40.77%,46.71%,50.90%,27.24%,27.53%,10854.09
2017/12/11,69,72,65.5,71.3,71.68,74.81,71.61,59.36,3157,4255,6923,1.88,2.81,-0.94,27.49%,36.35%,43.55%,49.46%,26.40%,26.96%,10750.93
2017/12/12,72.5,72.7,68.2,68.2,71.12,74.45,71.76,59.99,2455,3272,6690,1.44,2.54,-1.1,22.08%,31.59%,34.79%,45.15%,25.45%,26.20%,10707.07
2017/12/13,69,69.7,67.2,68.6,70.54,73.42,71.84,60.65,1897,2713,6285,1.02,2.23,-1.22,19.02%,27.40%,36.76%,45.81%,25.02%,25.61%,10713.55
2017/12/14,69.4,69.9,66.6,68.2,69.72,71.74,71.81,61.3,1762,2482,5206,0.65,1.92,-1.27,18.31%,24.37%,35.47%,45.22%,25.16%,25.39%,10560.44
2017/12/15,68.4,68.8,67,67,68.66,70.79,71.78,61.95,1234,2101,3659,0.3,1.59,-1.3,15.54%,21.43%,31.51%,43.36%,25.31%,25.35%,10600.37
2017/12/18,67,68.5,66.2,67,67.8,69.74,71.75,62.59,810,1632,2943,-0.01,1.27,-1.28,15.79%,19.55%,31.51%,43.36%,25.51%,25.43%,10651.11
2017/12/19,67.9,73.7,67.3,73.6,68.88,70,71.71,63.34,3132,1767,2520,0.14,1.05,-0.9,39.88%,26.32%,63.68%,55.34%,25.42%,25.43%,10566.85
2017/12/20,73.5,73.5,71.1,71.3,69.42,69.98,71.84,64.08,2378,1863,2288,0.24,0.89,-0.65,47.60%,33.42%,53.22%,51.22%,25.10%,25.26%,10393.92
